Name,Price
"Monitor Gamer Mancer Valak Z180H, 23.6 Pol. VA, Curvo, FHD, 1ms, 180Hz, FreeSync e G-Sync, HDMI/DP, MCR-VKZ180H-BL01","R$ 779,99"
"Monitor Gamer Mancer Valak UZ32, 32 Pol Curvo, VA, FHD, 1ms, 165Hz, FreeSync, HDMI/DP, MCR-VKUZ32-PL01","R$ 1.249,99"
"Monitor Gamer Pichau Cepheus VPRO32, 32 Pol, VA, Curvo, 2K, 165Hz, 1ms, FreeSync, HDMI/DP, PG-CFV32-BL01","R$ 1.589,99"
"Monitor Gamer Benq Mobiuz EX2710S, 27 Pol, IPS, FHD, 1ms, 165Hz, FreeSync Premium, HDMI/DP, EX2710S","R$ 2.699,99"
"Monitor Gamer AOC Destiny, 24.5 Pol, VA, FHD, 240Hz, 0.5ms, FreeSync Premium, HDMI/DP, 25G3ZM","R$ 1.249,99"
"Monitor Gamer Aigo Darkflash E24SA, 23.8 Pol, FHD, 144Hz, 5ms, HDMI/DP/Tipo-C, E24SA","R$ 1.799,99"
"Monitor Gamer Asrock PG32QF2B, 31.5 Pol, VA, QHD, 1ms, 165Hz, FreesSync Premium, HDMI/DP, 90LXA020-A0B2A0V","R$ 1.499,99"
"Suporte Duplo Para Monitor Aigo Atlas2, Preto, ATLAS2-BK","R$ 199,99"
"Monitor Philips 49'' SuperWide W-LED Curvo LCD VA HDMI/DisplayPort/USB-C + WebCam, 499P9H/00","R$ 8.299,99"
"Monitor Gamer Gigabyte G34WQC A, 34 Pol VA Curvo, WQHD, 1ms, 144Hz, FreeSync Premium, HDMI/DP, GIGABYTE-G34WQC-A","R$ 2.999,99"
"Suporte Articulado Para 2 Monitores Brateck LDT63 C024, 17 Pol. a 32 Pol., Prata, LDT63-C024","R$ 309,99"
"Suporte Articulado Para Monitor Brateck LDT63 C012, 17 Pol. a 32 Pol., Prata, LDT63-C012","R$ 154,99"
"Suporte Para Monitor e TV Brateck, 37 Pol. a 70 Pol., Preto, LPA78-463","R$ 129,99"
"Suporte Para Monitor Brateck LDT66 C012, 17 Pol. a 32 Pol., Preto, LDT66-C012","R$ 99,99"
"Suporte Para Monitor Brateck LDT66, 17 Pol. a 32 Pol., Preto, LDT66-C01","R$ 74,99"
"Monitor Gamer Redragon Quartz, 23.8 Pol., VA, FHD, 1ms, 165Hz, FreeSync, HDMI/DP GM24H2G","R$ 1.129,99"
"Suporte Articulado Para 2 Monitores Zinnia TMS 180, 13 Pol. a 32 Pol., Preto, ZNO-TMS180-BL01","R$ 99,99"
"Suporte Para Monitor Zinnia TMS 90, 13 Pol. a 32 Pol., Preto, ZNO-TMS90-BL01","R$ 79,99"
"Monitor Gamer MSI Optix MAG274R2, 27Pol. IPS, FHD, 1ms, 165Hz, G-Sync, HDMI/DP, OPTIX MAG274R2","R$ 2.149,99"
"Suporte Articulado Para TV Zinnia Elysium PRO, 32 Pol. a 75 Pol., Preto, ZNO-ELYPRO-BL01","R$ 152,99"
"Suporte Para TV Zinnia Elysium, 26 Pol. a 60 Pol., Preto, ZNO-ELYM-BL01","R$ 33,99"
"Suporte Articulado Para 3 Monitores Zinnia Nimbo 300, 10 Pol. A 32 Pol., Preto, ZNO-ZBO300-BK01","R$ 179,99"
"Suporte Articulado Para TV Zinnia Rubra T100, 14 Pol. a 65 Pol., Preto, ZNO-RBRAT-BL01","R$ 59,99"
"Suporte Articulado Para TV Zinnia Rubra, 14 Pol. a 43 Pol., Preto, ZNO-RBRA-BL01","R$ 35,99"
"Suporte Para TV Zinnia Sirion, 32 Pol. a 60 Pol., Preto, ZNO-SRN-BL01","R$ 9,99"
"Suporte Para Monitor TGT TMS 55, 17 Pol. a 32 Pol., Preto, TGT-TMS55-BL01","R$ 129,99"
"Suporte Para TV Zinnia STV700, 32 a 70 Pol, Preto, ZNO-STV700-BL01","R$ 329,99"
"Suporte Para TV Zinnia STV550, 32 a 55 Pol, Preto, ZNO-STV550-BL01","R$ 309,99"
"Suporte Articulado Para 2 Monitores Cougar DUO35, Ate 35 Pol, Preto, CGR-SDA-SB-01","R$ 619,99"
"Suporte Para Monitor e TV Zinnia SMT50, 14 Pol. a 27 Pol., Preto, ZNO-SMT50-BL01","R$ 69,99"
"Suporte Articulado Com Pistao a Gas Para 2 Monitores Zinnia Nimbo 200, 17 Pol. a 27 Pol., Branco, ZNO-ZNNBO200-WH01","R$ 373,92"
"Suporte Articulado Com Pistao a Gas Para Monitor Zinnia Nimbo 100, 17 Pol. a 27 Pol., Preto, ZNO-ZNNBO100-BK01","R$ 129,99"
"Suporte Articulado Com Pistao a Gas Para Monitor Zinnia Nimbo 100, 17 Pol. a 27 Pol., Branco, ZNO-ZNNBO100-WH01","R$ 119,99"
"Molduras Para Remocao De Bordas Redragon Siv, 24 ou 27 Pol, Preto, GMK-913","R$ 359,99"
"Monitor Gamer Corsair Xeneon 32QHD165, 32 Pol. IPS, QHD, 1ms,165Hz, FreeSync Premium, HDMI/DP, CM-9020001","R$ 8.999,99"
"Monitor Gamer AOC Agon 31.5"" Curvo VA 165Hz 1ms FHD FreeSync VGA/HDMI/DP, AG323FCXE","R$ 1.439,99"
"Monitor Gamer Asus, 24 Pol, TN, FHD, 0.5ms, 165hz, FreeSync Premium e G-Sync, HDMI/DP, VG248QG","R$ 1.249,99"
